name,code,rate,year
Masindi,UG409,31.13145847,2016
Mayuge,UG214,27.93206793,2016
Mbale,UG209,38.05292641,2016
Mbarara,UG410,24.72818511,2016
Mitooma,UG423,41.97002141,2016
Mityana,UG115,48.31957547,2016
Moroto,UG308,27.36111111,2016
Moyo,UG309,37.18,2016
Mpigi,UG106,27.12318286,2016
Mubende,UG107,20.1986755,2016
Mukono,UG108,26.59659181,2016
Nabilatuk,UG334,18.95302013,2016
Nakapiripirit,UG311,17.4973822,2016
Nakaseke,UG116,85.46065259,2016
Nakasongola,UG109,11.05894627,2016
Namayingo,UG230,56.44144144,2016
Namisindwa,UG234,90.55793991,2016
Namutumba,UG224,43.29359165,2016
Napak,UG327,30.52345343,2016
Nebbi,UG310,12.82081843,2016
Ngora,UG231,78.9261745,2016
Ntoroko,UG424,53.43839542,2016
Ntungamo,UG411,26.3420475,2016
Nwoya,UG328,54.47714465,2016
Obongi,UG337,70.37861915,2016
Omoro,UG331,80.19859813,2016
Otuke,UG329,11.19893428,2016
Oyam,UG321,58.22002472,2016
Pader,UG312,11.8171926,2016
Pakwach,UG332,52.42030697,2016
Pallisa,UG210,38.89821968,2016
Rakai,UG110,29.89619377,2016
Rubanda,UG429,12.78304239,2016
Rubirizi,UG425,62.45325355,2016
Rukiga,UG431,26.6993144,2016
Rukungiri,UG412,48.73634945,2016
Rwampara,UG435,67.01807229,2016
Serere,UG232,62.76041667,2016
Sheema,UG426,12.1333964,2016
Sironko,UG215,77.53968254,2016
Soroti,UG211,11.93426043,2016
Ssembabule,UG111,12.173258,2016
Tororo,UG212,70.89800443,2016
Wakiso,UG113,8.288888889,2016
Yumbe,UG313,26.23808634,2016
Zombo,UG330,41.36022143,2016
Abim,UG314,69.50078003,2017
Adjumani,UG301,73.79609544,2017
Agago,UG322,71.67364017,2017
Alebtong,UG323,88.72608873,2017
Amolatar,UG315,81.7721519,2017
Amudat,UG324,86.23005877,2017
Amuria,UG216,88.10463968,2017
Amuru,UG316,72.42409159,2017
Apac,UG302,60.4400978,2017
Arua,UG303,22.1228728,2017
Budaka,UG217,90.2055094,2017
Bududa,UG218,12.40235195,2017
Bugiri,UG201,31.36979897,2017
Bugweri,UG235,66.00901917,2017
Buhweju,UG420,86.09422492,2017
Buikwe,UG117,45.04806617,2017
Bukedea,UG219,42.20864251,2017
Bukomansimbi,UG118,52.46753247,2017
Bukwo,UG220,17.56809339,2017
Bulambuli,UG225,43.3,2017
Buliisa,UG416,13.125,2017
Bundibugyo,UG401,39.62962963,2017
Bunyangabu,UG430,81.86813187,2017
Bushenyi,UG402,10.96185738,2017
Busia,UG202,56.40807047,2017
Butaleja,UG221,25.35159141,2017
Butambala,UG119,81.5915628,2017
Butebo,UG233,68.18572657,2017
Buvuma,UG120,25.42910448,2017
Buyende,UG226,41.46341463,2017
Dokolo,UG317,71.875,2017
Gomba,UG121,12.72509004,2017
Gulu,UG304,42.56101638,2017
Hoima,UG403,87.14074074,2017
Ibanda,UG417,15.34246575,2017
Iganga,UG203,37.08322038,2017
Isingiro,UG418,18.16151842,2017
Jinja,UG204,34.56539399,2017
Kaabong,UG318,13.80667237,2017
Kabale,UG404,42.64828739,2017
Kabarole,UG405,84.2519685,2017
Kaberamaido,UG213,23.64485981,2017
Kagadi,UG427,26.40536359,2017
Kakumiro,UG428,14.79881177,2017
Kalaki,UG237,17.49188312,2017
Kalangala,UG101,23.43283582,2017
Kaliro,UG222,15.44337812,2017
Kalungu,UG122,10.28632025,2017
Kampala,UG102,11.81686686,2017
Kamuli,UG205,12.23823247,2017
Kamwenge,UG413,24.62562396,2017
Kanungu,UG414,17.55580779,2017
Kapchorwa,UG206,49.79824561,2017
Kapelebyong,UG236,19.24369748,2017
Karenga,UG335,23.98104265,2017
Kasese,UG406,34.57389428,2017
Kassanda,UG126,54.43298969,2017
Katakwi,UG207,80.22284123,2017
Kayunga,UG112,29.91475071,2017
Kazo,UG433,93.31632653,2017
Kibaale,UG407,16.6006006,2017
Kiboga,UG103,84.6637335,2017
Kibuku,UG227,93.40757238,2017
Kikuube,UG432,68.77227081,2017
Kiruhura,UG419,75.92814371,2017
Kiryandongo,UG421,54.81635482,2017
Kisoro,UG408,52.48488919,2017
Kitagwenda,UG434,13.18722605,2017
Kitgum,UG305,51.12464855,2017
Koboko,UG319,81.06817195,2017
Kole,UG325,64.78494624,2017
Kotido,UG306,47.46376812,2017
Kumi,UG208,75.23992322,2017
Kwania,UG333,12.95625943,2017
Kween,UG228,30.9297725,2017
Kyankwanzi,UG123,74.10423453,2017
Kyegegwa,UG422,30.58487874,2017
Kyenjojo,UG415,40.66822728,2017
Kyotera,UG125,78.52,2017
Lamwo,UG326,21.20863309,2017
Lira,UG307,42.9057117,2017
Luuka,UG229,32.59229853,2017
Luwero,UG104,26.50972364,2017
Lwengo,UG124,41.5428167,2017
Lyantonde,UG114,14.83267717,2017
Madi Okollo,UG336,74.8348745,2017
Manafwa,UG223,98.22954823,2017
Maracha,UG320,22.33739837,2017
Masaka,UG105,72.92327204,2017
Masindi,UG409,30.94783715,2017
Mayuge,UG214,27.3731112,2017
Mbale,UG209,37.51871257,2017
Mbarara,UG410,24.79541735,2017
Mitooma,UG423,42.47881356,2017
Mityana,UG115,48.60950174,2017
Moroto,UG308,28.1283906,2017
Moyo,UG309,37.39002933,2017
Mpigi,UG106,27.80269058,2017
Mubende,UG107,20.02516251,2017
Mukono,UG108,26.64086687,2017
Nabilatuk,UG334,18.62996159,2017
Nakapiripirit,UG311,17.05115346,2017
Nakaseke,UG116,85.09548207,2017
Nakasongola,UG109,11.09873418,2017
Namayingo,UG230,56.55447298,2017
Namisindwa,UG234,90.93444909,2017
Namutumba,UG224,43.01152738,2017
Napak,UG327,30.6,2017
Nebbi,UG310,12.69571924,2017
Ngora,UG231,84.78118877,2017
Ntoroko,UG424,53.71669004,2017
Ntungamo,UG411,26.74623361,2017
Nwoya,UG328,51.58910329,2017
Obongi,UG337,70.5856833,2017
Omoro,UG331,78.90580936,2017
Otuke,UG329,11.13945578,2017
Oyam,UG321,59.03961585,2017
Pader,UG312,11.88568376,2017
Pakwach,UG332,50.99488346,2017
Pallisa,UG210,37.95432615,2017
Rakai,UG110,29.4495103,2017
Rubanda,UG429,12.79368213,2017
Rubirizi,UG425,62.65590609,2017
Rukiga,UG431,27.55339806,2017
Rukungiri,UG412,48.75038568,2017
Rwampara,UG435,67.01030928,2017
Serere,UG232,62.50781739,2017
Sheema,UG426,12.33863424,2017
Sironko,UG215,77.91149068,2017
Soroti,UG211,11.80847819,2017
Ssembabule,UG111,12.64005859,2017
Tororo,UG212,73.01387137,2017
Wakiso,UG113,7.986515732,2017
Yumbe,UG313,25.5176075,2017
Zombo,UG330,41.39123751,2017
Abim,UG314,69.53010279,2018
Adjumani,UG301,73.79518072,2018
Agago,UG322,71.66940789,2018
Alebtong,UG323,88.74801902,2018
Amolatar,UG315,81.72839506,2018
Amudat,UG324,86.24296058,2018
Amuria,UG216,88.0952381,2018
Amuru,UG316,72.3920427,2018
Apac,UG302,60.41568257,2018
Arua,UG303,22.29084784,2018
Budaka,UG217,91.043515,2018
Bududa,UG218,12.34324759,2018
Bugiri,UG201,30.97325242,2018
Bugweri,UG235,66.30076839,2018
Buhweju,UG420,85.18791452,2018
Buikwe,UG117,46.04426912,2018
Bukedea,UG219,40.6864797,2018
Bukomansimbi,UG118,54.80955455,2018
Bukwo,UG220,17.53931545,2018
Bulambuli,UG225,43.30633635,2018
Buliisa,UG416,12.86029412,2018
Bundibugyo,UG401,39.45578231,2018
Bunyangabu,UG430,80.74034335,2018
Bushenyi,UG402,11.17767747,2018
Busia,UG202,56.77241379,2018
Butaleja,UG221,24.70546233,2018
Butambala,UG119,81.8957346,2018
Butebo,UG233,71.44067797,2018
Buvuma,UG120,24.96491228,2018
Buyende,UG226,40.83989501,2018
Dokolo,UG317,70.98039216,2018
Gomba,UG121,12.97457126,2018
Gulu,UG304,42.10526316,2018
Hoima,UG403,86.64187643,2018
Ibanda,UG417,15.60328726,2018
Iganga,UG203,36.52631579,2018
Isingiro,UG418,17.92707024,2018
Jinja,UG204,34.47310538,2018
Kaabong,UG318,13.78242678,2018
Kabale,UG404,43.87628866,2018
Kabarole,UG405,85.44557508,2018
Kaberamaido,UG213,24.62917685,2018
Kagadi,UG427,26.53721683,2018
Kakumiro,UG428,14.12583934,2018
Kalaki,UG237,17.4024961,2018
Kalangala,UG101,22.832,2018
Kaliro,UG222,15.2836485,2018
Kalungu,UG122,10.57217848,2018
Kampala,UG102,11.79192892,2018
Kamuli,UG205,12.28432108,2018
Kamwenge,UG413,24.43090734,2018
Kanungu,UG414,17.78935616,2018
Kapchorwa,UG206,49.56484642,2018
Kapelebyong,UG236,19.15306122,2018
Karenga,UG335,23.92638037,2018
Kasese,UG406,34.39188299,2018
Kassanda,UG126,55.03018109,2018
Katakwi,UG207,82.76422764,2018
Kayunga,UG112,30.12690355,2018
Kazo,UG433,93.49753695,2018
Kibaale,UG407,16.46092865,2018
Kiboga,UG103,85.59166156,2018
Kibuku,UG227,92.5751073,2018
Kikuube,UG432,66.67693255,2018
Kiruhura,UG419,76.02541883,2018
Kiryandongo,UG421,54.17789757,2018
Kisoro,UG408,53.47382285,2018
Kitagwenda,UG434,13.0880579,2018
Kitgum,UG305,51.45228216,2018
Koboko,UG319,80.44295863,2018
Kole,UG325,64.74096161,2018
Kotido,UG306,47.67206478,2018
Kumi,UG208,76.5735568,2018
Kwania,UG333,13.58886719,2018
Kween,UG228,31.25120308,2018
Kyankwanzi,UG123,71.70031056,2018
Kyegegwa,UG422,28.65821447,2018
Kyenjojo,UG415,40.30737705,2018
Kyotera,UG125,78.95151754,2018
Lamwo,UG326,21.44989339,2018
Lira,UG307,42.13891951,2018
Luuka,UG229,32.87937743,2018
Luwero,UG104,26.62934826,2018
Lwengo,UG124,42.08128942,2018
Lyantonde,UG114,14.69407266,2018
Madi Okollo,UG336,74.30956969,2018
Manafwa,UG223,98.68735084,2018
Maracha,UG320,22.58096662,2018
Masaka,UG105,73.68094351,2018
