name,year,rate,code
FULLER PARK,2002,22.2,37
GRAND BOULEVARD,2002,8.9,38
KENWOOD,2002,5.5,39
WASHINGTON PARK,2002,12.7,40
HYDE PARK,2002,5.1,41
WOODLAWN,2002,13.7,42
SOUTH SHORE,2002,12.8,43
CHATHAM,2002,8.8,44
AVALON PARK,2002,7.7,45
SOUTH CHICAGO,2002,12,46
BURNSIDE,2002,6.5,47
CALUMET HEIGHTS,2002,4.4,48
ROSELAND,2002,13.6,49
PULLMAN,2002,6.2,50
SOUTH DEERING,2002,4.2,51
EAST SIDE,2002,3.4,52
WEST PULLMAN,2002,12.1,53
RIVERDALE,2002,2.4,54
HEGEWISCH,2002,1.4,55
GARFIELD RIDGE,2002,1.3,56
ARCHER HEIGHTS,2002,3.2,57
OHARE,2002,0.9,58
BRIGHTON PARK,2002,4.8,59
MCKINLEY PARK,2002,2.9,60
BRIDGEPORT,2002,3,61
NEW CITY,2002,13.8,62
WEST ELSDON,2002,1.9,63
GAGE PARK,2002,5.8,64
CLEARING,2002,1.4,65
WEST LAWN,2002,2,66
CHICAGO LAWN,2002,10.1,67
WEST ENGLEWOOD,2002,21.7,68
ENGLEWOOD,2002,23.2,69
GREATER GRAND CROSSING,2002,15.5,70
ASHBURN,2002,2.1,71
AUBURN GRESHAM,2002,14.3,72
BEVERLY,2002,2.8,73
WASHINGTON HEIGHTS,2002,8.3,74
MOUNT GREENWOOD,2002,1.1,75
MORGAN PARK,2002,4.2,76
EDGEWATER,2002,3.5,77
ROGERS PARK,2003,4.4,1
WEST RIDGE,2003,2.7,2
UPTOWN,2003,4.6,3
LINCOLN SQUARE,2003,2.1,4
NORTH CENTER,2003,0.8,5
LAKE VIEW,2003,0.8,6
LINCOLN PARK,2003,1,7
NEAR NORTH SIDE,2003,1.6,8
EDISON PARK,2003,0,9
NORWOOD PARK,2003,0.8,10
JEFFERSON PARK,2003,1.3,11
FOREST GLEN,2003,0.7,12
NORTH PARK,2003,2.5,13
ALBANY PARK,2003,4.9,14
PORTAGE PARK,2003,1.8,15
IRVING PARK,2003,3.2,16
DUNNING,2003,0.5,17
MONTCLARE,2003,0.9,18
BELMONT CRAGIN,2003,4,19
HERMOSA,2003,4.8,20
AVONDALE,2003,4.6,21
LOGAN SQUARE,2003,4.3,22
HUMBOLDT PARK,2003,11.3,23
WEST TOWN,2003,3.6,24
AUSTIN,2003,14.6,25
WEST GARFIELD PARK,2003,16.5,26
EAST GARFIELD PARK,2003,14,27
NEAR WEST SIDE,2003,7.1,28
NORTH LAWNDALE,2003,12.9,29
SOUTH LAWNDALE,2003,5.4,30
LOWER WEST SIDE,2003,4.8,31
LOOP,2003,2.6,32
NEAR SOUTH SIDE,2003,2.6,33
ARMOUR SQUARE,2003,0.4,34
DOUGLAS,2003,3,35
OAKLAND,2003,2.1,36
FULLER PARK,2003,12.8,37
GRAND BOULEVARD,2003,4.5,38
KENWOOD,2003,2,39
WASHINGTON PARK,2003,7.9,40
HYDE PARK,2003,2.3,41
WOODLAWN,2003,9.7,42
SOUTH SHORE,2003,8.7,43
CHATHAM,2003,6.4,44
AVALON PARK,2003,4.5,45
SOUTH CHICAGO,2003,7.5,46
BURNSIDE,2003,6.5,47
CALUMET HEIGHTS,2003,3,48
ROSELAND,2003,10,49
PULLMAN,2003,6.4,50
SOUTH DEERING,2003,3.7,51
EAST SIDE,2003,2.4,52
WEST PULLMAN,2003,7.6,53
RIVERDALE,2003,0,54
HEGEWISCH,2003,0,55
GARFIELD RIDGE,2003,1,56
ARCHER HEIGHTS,2003,1.6,57
OHARE,2003,0.7,58
BRIGHTON PARK,2003,3.6,59
MCKINLEY PARK,2003,1.6,60
BRIDGEPORT,2003,1.5,61
NEW CITY,2003,8.8,62
WEST ELSDON,2003,1.6,63
GAGE PARK,2003,4.4,64
CLEARING,2003,1.7,65
WEST LAWN,2003,1.1,66
CHICAGO LAWN,2003,6.3,67
WEST ENGLEWOOD,2003,15.6,68
ENGLEWOOD,2003,17.3,69
GREATER GRAND CROSSING,2003,10.7,70
ASHBURN,2003,1.7,71
AUBURN GRESHAM,2003,10.5,72
BEVERLY,2003,2.1,73
WASHINGTON HEIGHTS,2003,5,74
MOUNT GREENWOOD,2003,0,75
MORGAN PARK,2003,4.6,76
EDGEWATER,2003,3.2,77
ROGERS PARK,2004,4.7,1
WEST RIDGE,2004,3,2
UPTOWN,2004,4,3
LINCOLN SQUARE,2004,3.1,4
NORTH CENTER,2004,0.8,5
LAKE VIEW,2004,1.1,6
LINCOLN PARK,2004,0.9,7
NEAR NORTH SIDE,2004,1.1,8
EDISON PARK,2004,0,9
NORWOOD PARK,2004,0.3,10
JEFFERSON PARK,2004,0.3,11
FOREST GLEN,2004,0.4,12
NORTH PARK,2004,2,13
ALBANY PARK,2004,3.4,14
PORTAGE PARK,2004,2.8,15
IRVING PARK,2004,3.9,16
DUNNING,2004,0.7,17
MONTCLARE,2004,1.9,18
BELMONT CRAGIN,2004,2.7,19
HERMOSA,2004,3.8,20
AVONDALE,2004,3.9,21
LOGAN SQUARE,2004,3.5,22
HUMBOLDT PARK,2004,9.3,23
WEST TOWN,2004,3.1,24
AUSTIN,2004,12.3,25
WEST GARFIELD PARK,2004,12.8,26
EAST GARFIELD PARK,2004,12,27
NEAR WEST SIDE,2004,4.7,28
NORTH LAWNDALE,2004,11,29
SOUTH LAWNDALE,2004,3.9,30
LOWER WEST SIDE,2004,3.4,31
LOOP,2004,2.3,32
NEAR SOUTH SIDE,2004,2.1,33
ARMOUR SQUARE,2004,1.3,34
DOUGLAS,2004,2.2,35
OAKLAND,2004,1.6,36
FULLER PARK,2004,16.7,37
GRAND BOULEVARD,2004,4.2,38
KENWOOD,2004,2.6,39
WASHINGTON PARK,2004,7.5,40
HYDE PARK,2004,1.4,41
WOODLAWN,2004,8.3,42
SOUTH SHORE,2004,6.8,43
CHATHAM,2004,6.8,44
AVALON PARK,2004,6,45
SOUTH CHICAGO,2004,6.1,46
BURNSIDE,2004,4.5,47
CALUMET HEIGHTS,2004,1.7,48
ROSELAND,2004,6.8,49
PULLMAN,2004,5.6,50
SOUTH DEERING,2004,2.6,51
EAST SIDE,2004,2,52
WEST PULLMAN,2004,7.4,53
RIVERDALE,2004,0,54
HEGEWISCH,2004,0,55
GARFIELD RIDGE,2004,0.9,56
ARCHER HEIGHTS,2004,1.5,57
OHARE,2004,2.5,58
BRIGHTON PARK,2004,3.2,59
MCKINLEY PARK,2004,1.3,60
BRIDGEPORT,2004,1.6,61
NEW CITY,2004,6.7,62
WEST ELSDON,2004,1.4,63
GAGE PARK,2004,4,64
CLEARING,2004,2.1,65
WEST LAWN,2004,1.5,66
CHICAGO LAWN,2004,6,67
WEST ENGLEWOOD,2004,13.2,68
